"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"8304","07002004-5010","07","Chiapas","002","Acala","004-5","010","5",762.1822
"8305","07046008-8010","07","Chiapas","046","Jiquipilas","008-8","010","3",107.0171
"8306","07089023-A013","07","Chiapas","089","Tapachula","023-A","013","128",145.1633
"8307","07052033-3009","07","Chiapas","052","Las Margaritas","033-3","009","56",46.4352
"8308","07002004-5016","07","Chiapas","002","Acala","004-5","016","17",74.2265
"8309","07034009-1011","07","Chiapas","034","Frontera Comalapa","009-1","011","425",1348.2673
"8310","07034002-A016","07","Chiapas","034","Frontera Comalapa","002-A","016","3",954.186
"8311","07077009-9017","07","Chiapas","077","Salto de Agua","009-9","017","2",45.0038
"8312","07059039-1002","07","Chiapas","059","Ocosingo","039-1","002","27",6137.655
"8313","07078011-3016","07","Chiapas","078","San Cristóbal de las Casas","011-3","016","39",405.6312
"8314","07003004-2019","07","Chiapas","003","Acapetahua","004-2","019","31",135.8938
"8315","07039005-A020","07","Chiapas","039","Huitiupán","005-A","020","43",67.7244
"8316","07063001-7014","07","Chiapas","063","Osumacinta","001-7","014","2",265.386
"8317","07108018-6021","07","Chiapas","108","Villaflores","018-6","021","105",370.9996
"8318","07003006-1025","07","Chiapas","003","Acapetahua","006-1","025","19",97.7569
"8319","07066003-8026","07","Chiapas","066","Pantelhó","003-8","026","49",106.6217
"8320","07097008-7027","07","Chiapas","097","Tonalá","008-7","027","8",505.8878
"8321","07069011-4027","07","Chiapas","069","Pijijiapan","011-4","027","11",108.3118
"8322","07065030-8028","07","Chiapas","065","Palenque","030-8","028","107",589.2759
"8323","07069002-5038","07","Chiapas","069","Pijijiapan","002-5","038","35",435.1208
"8324","07047002-8040","07","Chiapas","047","Jitotol","002-8","040","60",11.1492
"8325","07080001-8001","07","Chiapas","080","Siltepec","001-8","001","162",3531.2757
"8326","07017017-5002","07","Chiapas","017","Cintalapa","017-5","002","11",666.0794
"8327","07059030-0002","07","Chiapas","059","Ocosingo","030-0","002","17",2316.2615
"8328","07097008-7004","07","Chiapas","097","Tonalá","008-7","004","2",4009.3934
"8329","07080009-4005","07","Chiapas","080","Siltepec","009-4","005","88",2018.5884
"8330","07040005-0006","07","Chiapas","040","Huixtla","005-0","006","137",251.8764
"8331","07059001-4007","07","Chiapas","059","Ocosingo","001-4","007","266",1906.64
"8332","07113002-5003","07","Chiapas","113","Aldama","002-5","003","1",140.1216
"8333","07059011-8006","07","Chiapas","059","Ocosingo","011-8","006","13",1078.095
"8334","07069011-4007","07","Chiapas","069","Pijijiapan","011-4","007","90",2319.4964
"8335","07013003-4018","07","Chiapas","013","Bochil","003-4","018","19",23.5487
"8336","07025001-6012","07","Chiapas","025","Chapultenango","001-6","012","25",465.7425
"8337","07092014-6012","07","Chiapas","092","Tecpatán","014-6","012","16",16.68
"8338","07037004-0013","07","Chiapas","037","Huehuetán","004-0","013","82",585.3
"8339","07030010-5018","07","Chiapas","030","Chicomuselo","010-5","018","17",43.3376
"8340","07108010-A013","07","Chiapas","108","Villaflores","010-A","013","22",1012.2302
"8341","07057005-8017","07","Chiapas","057","Motozintla","005-8","017","442",481.0651
"8342","07092005-7018","07","Chiapas","092","Tecpatán","005-7","018","25",383.8405
"8343","07107023-A018","07","Chiapas","107","Villa Corzo","023-A","018","10",60.9945
"8344","07092020-1022","07","Chiapas","092","Tecpatán","020-1","022","13",52.3214
"8345","07077008-4023","07","Chiapas","077","Salto de Agua","008-4","023","14",36.0303
"8346","07068008-5011","07","Chiapas","068","Pichucalco","008-5","011","18",137.6093
"8347","07046006-9024","07","Chiapas","046","Jiquipilas","006-9","024","35",49.8527
"8348","07065030-8024","07","Chiapas","065","Palenque","030-8","024","6",67.086
"8349","07099003-9033","07","Chiapas","099","La Trinitaria","003-9","033","1",26.6518
"8350","07052006-6002","07","Chiapas","052","Las Margaritas","006-6","002","1",2105.7208
"8351","07052033-3002","07","Chiapas","052","Las Margaritas","033-3","002","36",1198.9476
"8352","07026002-8003","07","Chiapas","026","Chenalhó","002-8","003","175",292.6436
"8353","07097010-4002","07","Chiapas","097","Tonalá","010-4","002","1",1979.6228
"8354","07048007-8003","07","Chiapas","048","Juárez","007-8","003","19",43.1012
"8355","07114014-5003","07","Chiapas","114","Benemérito de las Américas","014-5","003","226",3921.7975
"8356","07030003-5004","07","Chiapas","030","Chicomuselo","003-5","004","491",2715.3951
"8357","07052033-3004","07","Chiapas","052","Las Margaritas","033-3","004","22",442.5696
"8358","07097013-8004","07","Chiapas","097","Tonalá","013-8","004","18",1128.9355
"8359","07047002-8006","07","Chiapas","047","Jitotol","002-8","006","328",895.8987
"8360","07032004-4026","07","Chiapas","032","Escuintla","004-4","026","47",148.157
"8361","07108012-9006","07","Chiapas","108","Villaflores","012-9","006","6",154.622
"8362","07030007-3001","07","Chiapas","030","Chicomuselo","007-3","001","6",1532.9417
"8363","07099016-6006","07","Chiapas","099","La Trinitaria","016-6","006","52",1124.0389
"8364","07009005-0007","07","Chiapas","009","Arriaga","005-0","007","8",1576.1577
"8365","07089025-9009","07","Chiapas","089","Tapachula","025-9","009","93",1434.004
"8366","07106006-9002","07","Chiapas","106","Venustiano Carranza","006-9","002","31",3946.2907
"8367","07008002-A008","07","Chiapas","008","Angel Albino Corzo","002-A","008","224",3169.4814
"8368","07059017-5010","07","Chiapas","059","Ocosingo","017-5","010","69",1042.8672
"8369","07069010-A010","07","Chiapas","069","Pijijiapan","010-A","010","3",207.0083
"8370","07020009-6011","07","Chiapas","020","La Concordia","009-6","011","32",1229.4462
"8371","07051012-4011","07","Chiapas","051","Mapastepec","012-4","011","9",1023.6069
"8372","07061018-8011","07","Chiapas","061","Ocozocoautla de Espinosa","018-8","011","11",752.6312
"8373","07059042-3013","07","Chiapas","059","Ocosingo","042-3","013","29",493.0704
"8374","07089025-9011","07","Chiapas","089","Tapachula","025-9","011","162",113.2501
"8375","07020017-0014","07","Chiapas","020","La Concordia","017-0","014","1",195.4315
"8376","07062010-9012","07","Chiapas","062","Ostuacán","010-9","012","17",604.1987
"8377","07019013-1013","07","Chiapas","019","Comitán de Domínguez","013-1","013","36",363.2913
"8378","07032004-4016","07","Chiapas","032","Escuintla","004-4","016","197",410.1843
"8379","07039004-5016","07","Chiapas","039","Huitiupán","004-5","016","30",107.592
"8380","07071003-8017","07","Chiapas","071","Villa Comaltitlán","003-8","017","199",1214.4239
"8381","07027005-9019","07","Chiapas","027","Chiapa de Corzo","005-9","019","871",935.0622
"8382","07074002-5024","07","Chiapas","074","Reforma","002-5","024","4",69.5492
"8383","07051011-A027","07","Chiapas","051","Mapastepec","011-A","027","3",81.8604
"8384","07062005-8027","07","Chiapas","062","Ostuacán","005-8","027","6",80.5254
"8385","07047002-8034","07","Chiapas","047","Jitotol","002-8","034","173",33.5575
"8386","07037003-6010","07","Chiapas","037","Huehuetán","003-6","010","37",19.9824
"8387","07089023-A001","07","Chiapas","089","Tapachula","023-A","001","40",33.4874
"8388","07042002-1002","07","Chiapas","042","Ixhuatán","002-1","002","581",894.9313
"8389","07072003-5015","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","015","10",5.774
"8390","07069003-A001","07","Chiapas","069","Pijijiapan","003-A","001","65",6744.6719
"8391","07059041-9011","07","Chiapas","059","Ocosingo","041-9","011","260",209.144
"8392","07069007-8017","07","Chiapas","069","Pijijiapan","007-8","017","38",278.9315
"8393","07092014-6002","07","Chiapas","092","Tecpatán","014-6","002","27",783.068
"8394","07101049-0002","07","Chiapas","101","Tuxtla Gutiérrez","049-0","002","1",43.466
"8395","07008002-A003","07","Chiapas","008","Angel Albino Corzo","002-A","003","3",803.0785
"8396","07097018-0020","07","Chiapas","097","Tonalá","018-0","020","1",16.1237
"8397","07068002-8003","07","Chiapas","068","Pichucalco","002-8","003","13",758.7251
"8398","07081003-4003","07","Chiapas","081","Simojovel","003-4","003","436",3684.3308
"8399","07006001-0004","07","Chiapas","006","Amatenango de la Frontera","001-0","004","75",476.8726
"8400","07062010-9004","07","Chiapas","062","Ostuacán","010-9","004","12",962.0297
"8401","07075005-6004","07","Chiapas","075","Las Rosas","005-6","004","6",98.1956
"8402","07099012-8004","07","Chiapas","099","La Trinitaria","012-8","004","1",4072.4917
"8403","07107018-9004","07","Chiapas","107","Villa Corzo","018-9","004","14",1751.5054
"8404","07108023-7007","07","Chiapas","108","Villaflores","023-7","007","4",21.1949
"8405","07079006-A025","07","Chiapas","079","San Fernando","006-A","025","8",2.3447
"8406","07073002-8005","07","Chiapas","073","Rayón","002-8","005","16",450.6457
"8407","07002005-A007","07","Chiapas","002","Acala","005-A","007","34",107.2971
"8408","07116007-A002","07","Chiapas","116","Marqués de Comillas","007-A","002","8",300.856
"8409","07065025-7009","07","Chiapas","065","Palenque","025-7","009","88",839.1504
"8410","07032003-A008","07","Chiapas","032","Escuintla","003-A","008","149",349.8032
"8411","07037005-5028","07","Chiapas","037","Huehuetán","005-5","028","16",109.8394
"8412","07061008-4011","07","Chiapas","061","Ocozocoautla de Espinosa","008-4","011","7",552.7232
"8413","07059081-3009","07","Chiapas","059","Ocosingo","081-3","009","42",1814.8746
"8414","07061003-1009","07","Chiapas","061","Ocozocoautla de Espinosa","003-1","009","35",338.8252
"8415","07046011-A013","07","Chiapas","046","Jiquipilas","011-A","013","6",1268.2072
"8416","07002006-4011","07","Chiapas","002","Acala","006-4","011","102",464.2938
"8417","07057004-3011","07","Chiapas","057","Motozintla","004-3","011","13",23.9527
"8418","07059028-3013","07","Chiapas","059","Ocosingo","028-3","013","217",1532.0278
"8419","07078001-A025","07","Chiapas","078","San Cristóbal de las Casas","001-A","025","1",2.918
"8420","07059028-3015","07","Chiapas","059","Ocosingo","028-3","015","47",21.4675
"8421","07050003-8016","07","Chiapas","050","La Libertad","003-8","016","12",611.2318
"8422","07104004-5017","07","Chiapas","104","Tzimol","004-5","017","49",87.1167
"8423","07052031-4019","07","Chiapas","052","Las Margaritas","031-4","019","89",153.9737
"8424","07057006-2029","07","Chiapas","057","Motozintla","006-2","029","256",840.2176
"8425","07051003-5010","07","Chiapas","051","Mapastepec","003-5","010","39",220.3787
"8426","07077003-1011","07","Chiapas","077","Salto de Agua","003-1","011","33",471.4947
"8427","07008006-8001","07","Chiapas","008","Angel Albino Corzo","006-8","001","110",1820.3854
"8428","07030001-6002","07","Chiapas","030","Chicomuselo","001-6","002","2",0.6641
"8429","07020008-1001","07","Chiapas","020","La Concordia","008-1","001","3",3411.86
"8430","07059040-4001","07","Chiapas","059","Ocosingo","040-4","001","163",1822.5356
"8431","07106008-8001","07","Chiapas","106","Venustiano Carranza","008-8","001","1",9875.9916
"8432","07046009-2002","07","Chiapas","046","Jiquipilas","009-2","002","537",2271.8862
"8433","07074003-A002","07","Chiapas","074","Reforma","003-A","002","76",1113.2428
"8434","07074002-5003","07","Chiapas","074","Reforma","002-5","003","37",319.5773
"8435","07027005-9005","07","Chiapas","027","Chiapa de Corzo","005-9","005","158",299.1829
"8436","07006002-5013","07","Chiapas","006","Amatenango de la Frontera","002-5","013","13",15.8366
"8437","07046005-4005","07","Chiapas","046","Jiquipilas","005-4","005","116",714.6123
"8438","07059014-1005","07","Chiapas","059","Ocosingo","014-1","005","32",290.7744
"8439","07104002-6012","07","Chiapas","104","Tzimol","002-6","012","29",68.3255
"8440","07027011-4006","07","Chiapas","027","Chiapa de Corzo","011-4","006","6",1658.0797
"8441","07077014-A006","07","Chiapas","077","Salto de Agua","014-A","006","110",944.9324
"8442","07069009-7013","07","Chiapas","069","Pijijiapan","009-7","013","13",19.097
"8443","07106007-3006","07","Chiapas","106","Venustiano Carranza","007-3","006","4",160.1916
"8444","07097008-7009","07","Chiapas","097","Tonalá","008-7","009","3",530.6468
"8445","07016001-7007","07","Chiapas","016","Catazajá","001-7","007","23",358.9314
"8446","07108018-6009","07","Chiapas","108","Villaflores","018-6","009","16",545.2294
"8447","07017028-3007","07","Chiapas","017","Cintalapa","028-3","007","1",656.927
"8448","07032005-9007","07","Chiapas","032","Escuintla","005-9","007","24",509.8704
"8449","07051010-5007","07","Chiapas","051","Mapastepec","010-5","007","14",756.2865
"8450","07064004-8007","07","Chiapas","064","Oxchuc","004-8","007","7",342.2797
"8451","07059042-3015","07","Chiapas","059","Ocosingo","042-3","015","9",313.3728
"8452","07099013-2014","07","Chiapas","099","La Trinitaria","013-2","014","52",400.4988
"8453","07065028-0008","07","Chiapas","065","Palenque","028-0","008","77",1230.1335
"8454","07089026-3016","07","Chiapas","089","Tapachula","026-3","016","6",19.1742
"8455","07003005-7015","07","Chiapas","003","Acapetahua","005-7","015","69",340.9438
"8456","07106013-9009","07","Chiapas","106","Venustiano Carranza","013-9","009","229",978.0574
"8457","07107009-A009","07","Chiapas","107","Villa Corzo","009-A","009","16",2283.7662
"8458","07027008-2010","07","Chiapas","027","Chiapa de Corzo","008-2","010","109",264.3386
"8459","07004011-A003","07","Chiapas","004","Altamirano","011-A","003","44",651.3628
"8460","07044002-6010","07","Chiapas","044","Ixtapa","002-6","010","231",633.0801
"8461","07059092-1001","07","Chiapas","059","Ocosingo","092-1","001","30",9698.871
"8462","07061016-9012","07","Chiapas","061","Ocozocoautla de Espinosa","016-9","012","32",520.8077
"8463","07081003-4014","07","Chiapas","081","Simojovel","003-4","014","4",47.323
"8464","07077013-5012","07","Chiapas","077","Salto de Agua","013-5","012","38",581.849
"8465","07005005-1004","07","Chiapas","005","Amatán","005-1","004","107",1039.2482
"8466","07019015-0013","07","Chiapas","019","Comitán de Domínguez","015-0","013","7",360.3446
"8467","07108009-7015","07","Chiapas","108","Villaflores","009-7","015","108",418.3277
"8468","07004010-5016","07","Chiapas","004","Altamirano","010-5","016","28",331.716
"8469","07077013-5017","07","Chiapas","077","Salto de Agua","013-5","017","39",59.1003
"8470","07081002-A019","07","Chiapas","081","Simojovel","002-A","019","34",41.7698
"8471","07102003-6020","07","Chiapas","102","Tuxtla Chico","003-6","020","61",728.4705
"8472","07027005-9025","07","Chiapas","027","Chiapa de Corzo","005-9","025","147",382.6914
"8473","07040006-5001","07","Chiapas","040","Huixtla","006-5","001","54",188.1804
"8474","07077006-5007","07","Chiapas","077","Salto de Agua","006-5","007","9",208.2964
"8475","07097017-6002","07","Chiapas","097","Tonalá","017-6","002","14",1485.3412
"8476","07002006-4003","07","Chiapas","002","Acala","006-4","003","4",282.9016
"8477","07107013-6015","07","Chiapas","107","Villa Corzo","013-6","015","25",1052.9606
"8478","07059001-4003","07","Chiapas","059","Ocosingo","001-4","003","32",567.12
"8479","07079005-5007","07","Chiapas","079","San Fernando","005-5","007","14",476.0688
"8480","07031010-2005","07","Chiapas","031","Chilón","010-2","005","119",618.1574
"8481","07052012-1005","07","Chiapas","052","Las Margaritas","012-1","005","62",1819.793
"8482","07116006-5006","07","Chiapas","116","Marqués de Comillas","006-5","006","183",3802.8789
"8483","07065012-A021","07","Chiapas","065","Palenque","012-A","021","20",91.8672
"8484","07003006-1017","07","Chiapas","003","Acapetahua","006-1","017","48",151.5671
"8485","07030005-4007","07","Chiapas","030","Chicomuselo","005-4","007","8",1644.3321
"8486","07065009-8008","07","Chiapas","065","Palenque","009-8","008","6",975.4981
"8487","07017028-3009","07","Chiapas","017","Cintalapa","028-3","009","1",347.3733
"8488","07081005-3010","07","Chiapas","081","Simojovel","005-3","010","3",162.5526
"8489","07099014-7010","07","Chiapas","099","La Trinitaria","014-7","010","21",24.4465
"8490","07054003-7013","07","Chiapas","054","Mazatán","003-7","013","15",146.4387
"8491","07016003-6015","07","Chiapas","016","Catazajá","003-6","015","48",58.7427
"8492","07037005-5018","07","Chiapas","037","Huehuetán","005-5","018","17",123.911
"8493","07081004-9018","07","Chiapas","081","Simojovel","004-9","018","46",160.5538
"8494","07030010-5019","07","Chiapas","030","Chicomuselo","010-5","019","23",100.2384
"8495","07038004-8001","07","Chiapas","038","Huixtán","004-8","001","88",639.4344
"8496","07046016-2020","07","Chiapas","046","Jiquipilas","016-2","020","30",102.7242
"8497","07087006-1019","07","Chiapas","087","Suchiate","006-1","019","29",65.6488
"8498","07077008-4029","07","Chiapas","077","Salto de Agua","008-4","029","3",128.0035
"8499","07012003-7002","07","Chiapas","012","Berriozábal","003-7","002","5",153.3337
"8500","07077008-4030","07","Chiapas","077","Salto de Agua","008-4","030","63",252.0097
"8501","07097008-7002","07","Chiapas","097","Tonalá","008-7","002","1",1520.482
"8502","07037003-6017","07","Chiapas","037","Huehuetán","003-6","017","69",515.9994
"8503","07033001-8001","07","Chiapas","033","Francisco León","001-8","001","445",7467.8598
"8504","07041012-8001","07","Chiapas","041","La Independencia","012-8","001","943",1210.8048
"8505","07052022-5002","07","Chiapas","052","Las Margaritas","022-5","002","135",4486.9424
"8506","07092015-0004","07","Chiapas","092","Tecpatán","015-0","004","10",352.8631
"8507","07059032-A002","07","Chiapas","059","Ocosingo","032-A","002","49",822.362
"8508","07105002-3017","07","Chiapas","105","Unión Juárez","002-3","017","483",403.2416
"8509","07019011-2003","07","Chiapas","019","Comitán de Domínguez","011-2","003","4",357.2252
"8510","07012003-7027","07","Chiapas","012","Berriozábal","003-7","027","16",34.4531
"8511","07065003-0004","07","Chiapas","065","Palenque","003-0","004","103",491.75
"8512","07107050-7004","07","Chiapas","107","Villa Corzo","050-7","004","19",546.1306
"8513","07094004-7028","07","Chiapas","094","Teopisca","004-7","028","2",23.9302
"8514","07063001-7008","07","Chiapas","063","Osumacinta","001-7","008","5",14.377
"8515","07097015-7028","07","Chiapas","097","Tonalá","015-7","028","24",313.2993
"8516","07046007-3011","07","Chiapas","046","Jiquipilas","007-3","011","44",272.1437
"8517","07077006-5005","07","Chiapas","077","Salto de Agua","006-5","005","15",930.1635
"8518","07106011-A006","07","Chiapas","106","Venustiano Carranza","011-A","006","132",682.3117
"8519","07083006-2007","07","Chiapas","083","Socoltenango","006-2","007","149",629.5319
"8520","07093003-5007","07","Chiapas","093","Tenejapa","003-5","007","36",312.0918
"8521","07097019-5007","07","Chiapas","097","Tonalá","019-5","007","14",539.4229
"8522","07109002-2008","07","Chiapas","109","Yajalón","002-2","008","6",250.593
"8523","07097018-0010","07","Chiapas","097","Tonalá","018-0","010","23",621.0399
"8524","07009006-5010","07","Chiapas","009","Arriaga","006-5","010","31",1411.7708
"8525","07072002-0015","07","Chiapas","072","Pueblo Nuevo Solistahuacán","002-0","015","13",13.4134
"8526","07109002-2010","07","Chiapas","109","Yajalón","002-2","010","19",490.4337
"8527","07069002-5012","07","Chiapas","069","Pijijiapan","002-5","012","7",265.7528
"8528","07017028-3013","07","Chiapas","017","Cintalapa","028-3","013","25",247.9825
"8529","07107016-A015","07","Chiapas","107","Villa Corzo","016-A","015","27",170.9231
"8530","07106006-9013","07","Chiapas","106","Venustiano Carranza","006-9","013","29",22.514
"8531","07002004-5014","07","Chiapas","002","Acala","004-5","014","2",43.2704
"8532","07077005-0016","07","Chiapas","077","Salto de Agua","005-0","016","53",254.7475
"8533","07108023-7016","07","Chiapas","108","Villaflores","023-7","016","17",76.789
"8534","07094003-2020","07","Chiapas","094","Teopisca","003-2","020","59",37.8816
"8535","07069002-5036","07","Chiapas","069","Pijijiapan","002-5","036","1",101.3808
"8536","07083008-1021","07","Chiapas","083","Socoltenango","008-1","021","30",66.4843
"8537","07107020-6021","07","Chiapas","107","Villa Corzo","020-6","021","3",104.9749
"8538","07061010-1026","07","Chiapas","061","Ocozocoautla de Espinosa","010-1","026","62",75.1854
"8539","07015002-4025","07","Chiapas","015","Cacahoatán","002-4","025","545",486.2398
"8540","07065030-8027","07","Chiapas","065","Palenque","030-8","027","153",550.3921
"8541","07089024-4037","07","Chiapas","089","Tapachula","024-4","037","12",17.8116
"8542","07051012-4001","07","Chiapas","051","Mapastepec","012-4","001","16",680.759
"8543","07052022-5001","07","Chiapas","052","Las Margaritas","022-5","001","33",1286.5875
"8544","07059009-0001","07","Chiapas","059","Ocosingo","009-0","001","151",957.441
"8545","07068006-6006","07","Chiapas","068","Pichucalco","006-6","006","5",861.9381
"8546","07017016-0002","07","Chiapas","017","Cintalapa","016-0","002","4",860.7145
"8547","07020026-A003","07","Chiapas","020","La Concordia","026-A","003","16",31.8848
"8548","07061016-9003","07","Chiapas","061","Ocozocoautla de Espinosa","016-9","003","475",946.7211
"8549","07069024-1003","07","Chiapas","069","Pijijiapan","024-1","003","1",647.3684
"8550","07082001-2003","07","Chiapas","082","Sitalá","001-2","003","148",768.194
"8551","07107016-A003","07","Chiapas","107","Villa Corzo","016-A","003","5",7.4397
"8552","07009007-A004","07","Chiapas","009","Arriaga","007-A","004","14",676.0128
"8553","07069024-1005","07","Chiapas","069","Pijijiapan","024-1","005","1",27.6765
"8554","07004010-5008","07","Chiapas","004","Altamirano","010-5","008","41",777.803
"8555","07017022-6008","07","Chiapas","017","Cintalapa","022-6","008","44",407.6782
"8556","07082001-2008","07","Chiapas","082","Sitalá","001-2","008","13",318.3115
"8557","07097015-7008","07","Chiapas","097","Tonalá","015-7","008","5",646.5725
"8558","07062010-9009","07","Chiapas","062","Ostuacán","010-9","009","14",653.506
"8559","07068005-1011","07","Chiapas","068","Pichucalco","005-1","011","7",151.0598
"8560","07012003-7010","07","Chiapas","012","Berriozábal","003-7","010","20",533.7292
"8561","07019009-5011","07","Chiapas","019","Comitán de Domínguez","009-5","011","4",263.6747
"8562","07017020-7013","07","Chiapas","017","Cintalapa","020-7","013","59",243.1037
"8563","07057006-2016","07","Chiapas","057","Motozintla","006-2","016","7",54.4948
"8564","07087002-3013","07","Chiapas","087","Suchiate","002-3","013","1",33.4194
"8565","07016003-6017","07","Chiapas","016","Catazajá","003-6","017","75",368.5156
"8566","07089027-8013","07","Chiapas","089","Tapachula","027-8","013","162",268.7534
"8567","07019017-A014","07","Chiapas","019","Comitán de Domínguez","017-A","014","34",134.5162
"8568","07037003-6016","07","Chiapas","037","Huehuetán","003-6","016","41",145.5295
"8569","07027006-3018","07","Chiapas","027","Chiapa de Corzo","006-3","018","23",463.4188
"8570","07030008-8019","07","Chiapas","030","Chicomuselo","008-8","019","60",93.0872
"8571","07052025-9019","07","Chiapas","052","Las Margaritas","025-9","019","288",2103.2238
"8572","07017025-A021","07","Chiapas","017","Cintalapa","025-A","021","5",65.6617
"8573","07071004-2025","07","Chiapas","071","Villa Comaltitlán","004-2","025","86",160.7451
"8574","07069011-4001","07","Chiapas","069","Pijijiapan","011-4","001","35",418.3388
"8575","07057006-2001","07","Chiapas","057","Motozintla","006-2","001","120",1010.6414
"8576","07059001-4001","07","Chiapas","059","Ocosingo","001-4","001","54",817.6194
"8577","07004003-5001","07","Chiapas","004","Altamirano","003-5","001","31",432.8437
"8578","07017029-8002","07","Chiapas","017","Cintalapa","029-8","002","20",3773.4284
"8579","07086004-5002","07","Chiapas","086","Suchiapa","004-5","002","9",608.7568
"8580","07061017-3004","07","Chiapas","061","Ocozocoautla de Espinosa","017-3","004","16",25.256
"8581","07045003-8003","07","Chiapas","045","Ixtapangajoya","003-8","003","239",2292.3938
"8582","07065002-6003","07","Chiapas","065","Palenque","002-6","003","55",699.412
"8583","07107007-0006","07","Chiapas","107","Villa Corzo","007-0","006","2",264.1699
"8584","07044002-6004","07","Chiapas","044","Ixtapa","002-6","004","1052",727.2779
"8585","07012004-1005","07","Chiapas","012","Berriozábal","004-1","005","15",72.9941
"8586","07107022-5017","07","Chiapas","107","Villa Corzo","022-5","017","11",67.9241
"8587","07017029-8005","07","Chiapas","017","Cintalapa","029-8","005","30",853.4872
"8588","07079004-0005","07","Chiapas","079","San Fernando","004-0","005","4",63.9755
"8589","07039005-A006","07","Chiapas","039","Huitiupán","005-A","006","254",511.0132
"8590","07017012-2001","07","Chiapas","017","Cintalapa","012-2","001","52",2164.7548
"8591","07097008-7006","07","Chiapas","097","Tonalá","008-7","006","3",664.3748
"8592","07075006-0007","07","Chiapas","075","Las Rosas","006-0","007","35",196.6867
"8593","07065017-2009","07","Chiapas","065","Palenque","017-2","009","2",12.8864
"8594","07110003-8007","07","Chiapas","110","San Lucas","003-8","007","27",56.1226
"8595","07071003-8009","07","Chiapas","071","Villa Comaltitlán","003-8","009","47",286.5858
"8596","07076003-4009","07","Chiapas","076","Sabanilla","003-4","009","75",382.65
"8597","07097019-5009","07","Chiapas","097","Tonalá","019-5","009","24",978.4449
"8598","07107020-6018","07","Chiapas","107","Villa Corzo","020-6","018","28",228.2392
"8599","07087002-3001","07","Chiapas","087","Suchiate","002-3","001","12",895.99
"8600","07020005-8010","07","Chiapas","020","La Concordia","005-8","010","6",731.4038
"8601","07052037-1006","07","Chiapas","052","Las Margaritas","037-1","006","2",89.91
"8602","07054004-1010","07","Chiapas","054","Mazatán","004-1","010","120",456.8414
"8603","07046008-8012","07","Chiapas","046","Jiquipilas","008-8","012","8",290.0635
"8604","07001003-3022","07","Chiapas","001","Acacoyagua","003-3","022","22",486.4734
"8605","07065025-7012","07","Chiapas","065","Palenque","025-7","012","61",1477.4607
"8606","07005005-1022","07","Chiapas","005","Amatán","005-1","022","2",5.4436
"8607","07009004-6002","07","Chiapas","009","Arriaga","004-6","002","26",911.7212
"8608","07116011-6012","07","Chiapas","116","Marqués de Comillas","011-6","012","230",4726.4592
"8609","07047002-8037","07","Chiapas","047","Jitotol","002-8","037","3",2.8299
"8610","07059027-9013","07","Chiapas","059","Ocosingo","027-9","013","71",1644.668
"8611","07056001-2006","07","Chiapas","056","Mitontic","001-2","006","16",118.5088
"8612","07037005-5015","07","Chiapas","037","Huehuetán","005-5","015","48",92.2203
"8613","07016003-6002","07","Chiapas","016","Catazajá","003-6","002","3",844.7905
"8614","07002006-4017","07","Chiapas","002","Acala","006-4","017","32",861.4268
"8615","07099022-1022","07","Chiapas","099","La Trinitaria","022-1","022","4",13.5964
"8616","07092003-8024","07","Chiapas","092","Tecpatán","003-8","024","8",42.3892
"8617","07071004-2028","07","Chiapas","071","Villa Comaltitlán","004-2","028","165",457.2432
"8618","07118002-1036","07","Chiapas","118","San Andrés Duraznal","002-1","036","7",73.8626
"8619","07108008-2001","07","Chiapas","108","Villaflores","008-2","001","10",77.1
"8620","07031004-7002","07","Chiapas","031","Chilón","004-7","002","28",142.6496
"8621","07072003-5002","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","002","66",301.1672
"8622","07050003-8003","07","Chiapas","050","La Libertad","003-8","003","15",567.5599
"8623","07035001-2003","07","Chiapas","035","Frontera Hidalgo","001-2","003","182",1071.715
"8624","07092014-6003","07","Chiapas","092","Tecpatán","014-6","003","9",308.9133
"8625","07046004-A004","07","Chiapas","046","Jiquipilas","004-A","004","79",658.3079
"8626","07107015-5003","07","Chiapas","107","Villa Corzo","015-5","003","1",121.9056
"8627","07107014-0005","07","Chiapas","107","Villa Corzo","014-0","005","5",490.4937
"8628","07013004-9006","07","Chiapas","013","Bochil","004-9","006","20",65.304
"8629","07101039-7007","07","Chiapas","101","Tuxtla Gutiérrez","039-7","007","3",766.9458
"8630","07059001-4008","07","Chiapas","059","Ocosingo","001-4","008","6",47.6892
"8631","07046013-9008","07","Chiapas","046","Jiquipilas","013-9","008","331",1024.7429
"8632","07034006-8009","07","Chiapas","034","Frontera Comalapa","006-8","009","27",159.3081
"8633","07082001-2009","07","Chiapas","082","Sitalá","001-2","009","5",52.3485
"8634","07052018-9011","07","Chiapas","052","Las Margaritas","018-9","011","141",892.9942
"8635","07059016-0002","07","Chiapas","059","Ocosingo","016-0","002","49",1018.4921
"8636","07097006-8012","07","Chiapas","097","Tonalá","006-8","012","1",528.8518
"8637","07059029-8006","07","Chiapas","059","Ocosingo","029-8","006","2",1530.361
"8638","07019019-9012","07","Chiapas","019","Comitán de Domínguez","019-9","012","31",115.8313
