"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"1730","07083008-1009","07","Chiapas","083","Socoltenango","008-1","009","206",566.9727
"1731","07076001-5008","07","Chiapas","076","Sabanilla","001-5","008","3",60.4344
"1732","07020013-2010","07","Chiapas","020","La Concordia","013-2","010","5",1305.2213
"1733","07107019-3012","07","Chiapas","107","Villa Corzo","019-3","012","9",1139.4213
"1734","07059034-9013","07","Chiapas","059","Ocosingo","034-9","013","1",59.3877
"1735","07017025-A016","07","Chiapas","017","Cintalapa","025-A","016","14",1039.8277
"1736","07030010-5016","07","Chiapas","030","Chicomuselo","010-5","016","31",407.6401
"1737","07061012-0016","07","Chiapas","061","Ocozocoautla de Espinosa","012-0","016","3",977.0519
"1738","07117003-9016","07","Chiapas","117","Montecristo de Guerrero","003-9","016","84",357.0246
"1739","07038004-8018","07","Chiapas","038","Huixtán","004-8","018","2",180.7608
"1740","07046015-8001","07","Chiapas","046","Jiquipilas","015-8","001","107",1686.5328
"1741","07050001-9001","07","Chiapas","050","La Libertad","001-9","001","7",1013.8279
"1742","07059047-6001","07","Chiapas","059","Ocosingo","047-6","001","79",10177.5068
"1743","07065008-3001","07","Chiapas","065","Palenque","008-3","001","10",2807.0623
"1744","07017011-8002","07","Chiapas","017","Cintalapa","011-8","002","242",1119.907
"1745","07031017-4002","07","Chiapas","031","Chilón","017-4","002","110",1591.766
"1746","07097014-2010","07","Chiapas","097","Tonalá","014-2","010","21",56.3528
"1747","07039004-5019","07","Chiapas","039","Huitiupán","004-5","019","67",472.4304
"1748","07053001-0002","07","Chiapas","053","Mazapa de Madero","001-0","002","1",3829.344
"1749","07051005-4005","07","Chiapas","051","Mapastepec","005-4","005","8",983.2352
"1750","07006002-5003","07","Chiapas","006","Amatenango de la Frontera","002-5","003","81",567.0433
"1751","07077005-0028","07","Chiapas","077","Salto de Agua","005-0","028","36",69.8652
"1752","07069010-A003","07","Chiapas","069","Pijijiapan","010-A","003","1",45.4095
"1753","07069007-8004","07","Chiapas","069","Pijijiapan","007-8","004","31",266.4002
"1754","07039005-A001","07","Chiapas","039","Huitiupán","005-A","001","21",267.1488
"1755","07059069-2006","07","Chiapas","059","Ocosingo","069-2","006","7",714.238
"1756","07046008-8005","07","Chiapas","046","Jiquipilas","008-8","005","77",1372.1473
"1757","07061017-3006","07","Chiapas","061","Ocozocoautla de Espinosa","017-3","006","426",2734.4054
"1758","07106014-3005","07","Chiapas","106","Venustiano Carranza","014-3","005","5",599.356
"1759","07020019-A008","07","Chiapas","020","La Concordia","019-A","008","210",1618.0271
"1760","07097007-2013","07","Chiapas","097","Tonalá","007-2","013","4",912.744
"1761","07027009-7008","07","Chiapas","027","Chiapa de Corzo","009-7","008","135",957.373
"1762","07108013-3008","07","Chiapas","108","Villaflores","013-3","008","123",397.3397
"1763","07052034-8010","07","Chiapas","052","Las Margaritas","034-8","010","18",156.8525
"1764","07006002-5006","07","Chiapas","006","Amatenango de la Frontera","002-5","006","7",196.1484
"1765","07052006-6010","07","Chiapas","052","Las Margaritas","006-6","010","19",844.5557
"1766","07069005-9006","07","Chiapas","069","Pijijiapan","005-9","006","19",879.4929
"1767","07077008-4010","07","Chiapas","077","Salto de Agua","008-4","010","3",98.8043
"1768","07059032-A011","07","Chiapas","059","Ocosingo","032-A","011","147",200.2136
"1769","07107020-6014","07","Chiapas","107","Villa Corzo","020-6","014","3",265.1106
"1770","07096008-A011","07","Chiapas","096","Tila","008-A","011","18",35.6998
"1771","07099016-6011","07","Chiapas","099","La Trinitaria","016-6","011","30",511.8009
"1772","07069015-2008","07","Chiapas","069","Pijijiapan","015-2","008","8",58.9989
"1773","07071002-3012","07","Chiapas","071","Villa Comaltitlán","002-3","012","21",677.7792
"1774","07047003-2013","07","Chiapas","047","Jitotol","003-2","013","48",66.983
"1775","07069014-8013","07","Chiapas","069","Pijijiapan","014-8","013","1",84.3831
"1776","07018002-6016","07","Chiapas","018","Coapilla","002-6","016","24",51.1671
"1777","07071004-2022","07","Chiapas","071","Villa Comaltitlán","004-2","022","3",39.9162
"1778","07043002-9020","07","Chiapas","043","Ixtacomitán","002-9","020","145",860.2508
"1779","07102003-6021","07","Chiapas","102","Tuxtla Chico","003-6","021","181",960.8122
"1780","07077005-0026","07","Chiapas","077","Salto de Agua","005-0","026","214",275.1957
"1781","07089024-4026","07","Chiapas","089","Tapachula","024-4","026","11",21.7086
"1782","07079002-1027","07","Chiapas","079","San Fernando","002-1","027","34",271.5435
"1783","07001002-9002","07","Chiapas","001","Acacoyagua","002-9","002","201",1852.513
"1784","07046013-9001","07","Chiapas","046","Jiquipilas","013-9","001","13",1288.6479
"1785","07031016-A002","07","Chiapas","031","Chilón","016-A","002","11",47.9424
"1786","07032004-4021","07","Chiapas","032","Escuintla","004-4","021","2",148.3646
"1787","07023001-1001","07","Chiapas","023","Chamula","001-1","001","521",1183.9666
"1788","07091002-6003","07","Chiapas","091","Tapilula","002-6","003","516",1977.4408
"1789","07075005-6001","07","Chiapas","075","Las Rosas","005-6","001","194",1605.059
"1790","07089030-A005","07","Chiapas","089","Tapachula","030-A","005","33",573.7576
"1791","07029001-5007","07","Chiapas","029","Chicoasén","001-5","007","17",160.3535
"1792","07032004-4007","07","Chiapas","032","Escuintla","004-4","007","299",884.0619
"1793","07056001-2007","07","Chiapas","056","Mitontic","001-2","007","144",87.048
"1794","07082002-7008","07","Chiapas","082","Sitalá","002-7","008","16",730.1804
"1795","07032004-4009","07","Chiapas","032","Escuintla","004-4","009","24",621.6888
"1796","07077008-4009","07","Chiapas","077","Salto de Agua","008-4","009","113",2174.1291
"1797","07034003-4009","07","Chiapas","034","Frontera Comalapa","003-4","009","53",246.4036
"1798","07040008-4009","07","Chiapas","040","Huixtla","008-4","009","1",557.0812
"1799","07100004-6009","07","Chiapas","100","Tumbalá","004-6","009","90",290.8966
"1800","07017013-7010","07","Chiapas","017","Cintalapa","013-7","010","18",123.9196
"1801","07062001-A011","07","Chiapas","062","Ostuacán","001-A","011","55",682.374
"1802","07083002-4011","07","Chiapas","083","Socoltenango","002-4","011","17",13.9772
"1803","07052034-8013","07","Chiapas","052","Las Margaritas","034-8","013","239",981.0153
"1804","07069011-4014","07","Chiapas","069","Pijijiapan","011-4","014","24",200.0643
"1805","07097008-7017","07","Chiapas","097","Tonalá","008-7","017","83",2045.8605
"1806","07072004-A004","07","Chiapas","072","Pueblo Nuevo Solistahuacán","004-A","004","19",12.8022
